"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Sep 20 22:47:20 EDT 2020","Sun Sep 20 22:47:20 EDT 2020","1","Default Suite","OddoWebsiteAutomation copy","org.example.SignUpPageTest","org.example.SignUpPageTest","doLogin","doLogin",""
"passed","Tue Sep 22 00:47:07 EDT 2020","Tue Sep 22 00:47:26 EDT 2020","19156","Default Suite","OddoWebsiteAutomation copy","org.example.TryForFreePageTest","org.example.TryForFreePageTest","tryForFreeOptionTest","tryForFreeOptionTest",""
"broken","Sun Sep 20 23:29:53 EDT 2020","Sun Sep 20 23:29:53 EDT 2020","2","Default Suite","OddoWebsiteAutomation copy","org.example.PartnerDashboardTest","org.example.PartnerDashboardTest","setUp","setUp",""
"unknown","Tue Sep 22 00:28:30 EDT 2020","Tue Sep 22 00:28:30 EDT 2020","0","Default Suite","OddoWebsiteAutomation copy","org.example.SignUpPageTest","org.example.SignUpPageTest","resetPasswordTest","resetPasswordTest",""
"passed","Tue Sep 22 00:25:41 EDT 2020","Tue Sep 22 00:26:41 EDT 2020","60110","Default Suite","OddoWebsiteAutomation copy","org.example.PricingPageTest","org.example.PricingPageTest","pricingMenuTest","pricingMenuTest",""
"broken","Sun Sep 20 23:32:27 EDT 2020","Sun Sep 20 23:32:27 EDT 2020","1","Suite","Regression","org.example.ScheduleDemoTest","org.example.ScheduleDemoTest","doLogin","doLogin",""
"unknown","Sun Sep 20 23:13:13 EDT 2020","Sun Sep 20 23:13:13 EDT 2020","2","Suite","Regression","org.example.WriteForCommunityTest","org.example.WriteForCommunityTest","writeForCommunityTest","writeForCommunityTest",""
"broken","Sun Sep 20 23:32:44 EDT 2020","Sun Sep 20 23:32:44 EDT 2020","1","Suite","Regression","org.example.PartnerDashboardTest","org.example.PartnerDashboardTest","doLogin","doLogin",""
"passed","Tue Sep 22 00:13:41 EDT 2020","Tue Sep 22 00:14:25 EDT 2020","44153","Default Suite","OddoWebsiteAutomation copy","org.example.SignUpPageTest","org.example.SignUpPageTest","pricingMenuTest","pricingMenuTest",""
"passed","Mon Sep 21 11:17:45 EDT 2020","Mon Sep 21 11:18:07 EDT 2020","22691","Default Suite","OddoWebsiteAutomation copy","org.example.OddoGithubCommunityTest","org.example.OddoGithubCommunityTest","odooGithubCommunityTest","odooGithubCommunityTest",""
"passed","Mon Sep 21 12:43:15 EDT 2020","Mon Sep 21 12:43:24 EDT 2020","9691","Default Suite","OddoWebsiteAutomation copy","org.example.RegisterPageTest","org.example.RegisterPageTest","signUpPageTest","signUpPageTest",""
"skipped","Sun Sep 20 22:47:20 EDT 2020","Sun Sep 20 22:47:20 EDT 2020","3","Default Suite","OddoWebsiteAutomation copy","org.example.SignUpPageTest","org.example.SignUpPageTest","scheduleDemoTest","scheduleDemoTest",""
"broken","Wed Sep 23 21:21:54 EDT 2020","Wed Sep 23 21:21:54 EDT 2020","10","Default Suite","OddoWebsiteAutomation copy","org.example.DocumentsPageTest","org.example.DocumentsPageTest","openOdooDocumentsPage","openOdooDocumentsPage",""
"broken","Wed Sep 23 23:46:50 EDT 2020","Wed Sep 23 23:46:51 EDT 2020","1112","Suite","Regression","org.example.ScheduleDemoTest","org.example.ScheduleDemoTest","scheduleDemoTest","scheduleDemoTest",""
"broken","Sat Sep 19 12:07:24 EDT 2020","Sat Sep 19 12:07:24 EDT 2020","0","Suite","Regression","org.example.WriteForCommunityTest","org.example.WriteForCommunityTest","setUp","setUp",""
